"Quantidade de vendas por dia","listItems.itemsId.keyword: Descending",Count
"2019-06-02",27002,1
"2019-06-02",6027,1
"2019-06-02",7100062,1
"2019-06-02",7300022,1
"2019-06-02",7700049,1
"2019-06-02",7700056,1
"2019-06-02",7700057,1
"2019-06-02",7700061,1
"2019-06-02",8000047,1
"2019-06-02",8600011,1
"2019-06-02",8700001,1
"2019-06-02",8700005,1
"2019-06-02",8700010,1
"2019-06-03",9008,282
"2019-06-03",6012,197
"2019-06-03",1050,87
"2019-06-03",6013,46
"2019-06-03",2106,45
"2019-06-03",1804,36
"2019-06-03",7100023,36
"2019-06-03",8800008,34
"2019-06-03",6011,29
"2019-06-03",7300015,24
"2019-06-03",2602,23
"2019-06-03",2700,20
"2019-06-03",1700,19
"2019-06-03",7100036,18
"2019-06-03",7100022,17
"2019-06-03",1052,16
"2019-06-03",7300014,16
"2019-06-03",8700020,15
"2019-06-03",7300001,14
"2019-06-03",8000007,14
"2019-06-03",1600,13
"2019-06-03",2604,12
"2019-06-03",20006,11
"2019-06-03",8000012,11
"2019-06-03",8000013,11
"2019-06-03",7100033,10
"2019-06-03",7300024,10
"2019-06-03",6020,9
"2019-06-03",2100,8
"2019-06-03",6508,8
"2019-06-03",7100061,8
"2019-06-03",7700048,8
"2019-06-03",8000001,8
"2019-06-03",8000045,8
"2019-06-03",8700017,8
"2019-06-03",20000,7
"2019-06-03",2064,7
"2019-06-03",7100075,7
"2019-06-03",7700020,7
"2019-06-03",8000043,7
"2019-06-03",9052,7
"2019-06-03",6522,6
"2019-06-03",7100021,6
"2019-06-03",7100078,6
"2019-06-03",9013,6
"2019-06-03",20002,5
"2019-06-03",2612,5
"2019-06-03",7100056,5
"2019-06-03",7100057,5
"2019-06-03",7100060,5
"2019-06-03",7100074,5
"2019-06-03",9103,5
"2019-06-03",7100055,4
"2019-06-03",7700016,4
"2019-06-03",8000032,4
"2019-06-03",8800001,4
"2019-06-03",8800010,4
"2019-06-03",9010,4
"2019-06-03",30000,3
"2019-06-03",5000074,3
"2019-06-03",6017,3
"2019-06-03",6019,3
"2019-06-03",7100079,3
"2019-06-03",7700021,3
"2019-06-03",7700050,3
"2019-06-03",7900006,3
"2019-06-03",8000049,3
"2019-06-03",9058,3
"2019-06-03",9106,3
"2019-06-03",20008,2
"2019-06-03",2610,2
"2019-06-03",27001,2
"2019-06-03",5000413,2
"2019-06-03",7100058,2
"2019-06-03",7100059,2
"2019-06-03",7700017,2
"2019-06-03",9059,2
"2019-06-03",1806,1
"2019-06-03",2050,1
"2019-06-03",2606,1
"2019-06-03",2614,1
"2019-06-03",6000072,1
"2019-06-03",6018,1
"2019-06-03",6021,1
"2019-06-03",7300005,1
"2019-06-03",7300016,1
"2019-06-03",7700019,1
"2019-06-03",7700055,1
"2019-06-03",7700058,1
"2019-06-03",8600010,1
"2019-06-03",8600016,1
"2019-06-03",8600021,1
"2019-06-03",8800002,1
"2019-06-03",9011,1
"2019-06-03",9049,1
"2019-06-03",9055,1
"2019-06-03",9105,1
"2019-06-04",9008,359
"2019-06-04",6012,234
"2019-06-04",1050,90
"2019-06-04",7100023,67
"2019-06-04",6013,61
"2019-06-04",2700,50
"2019-06-04",2106,49
"2019-06-04",1804,45
"2019-06-04",6011,43
"2019-06-04",7100022,36
"2019-06-04",8000007,35
"2019-06-04",8800008,31
"2019-06-04",6020,30
"2019-06-04",1052,27
"2019-06-04",7300001,27
"2019-06-04",7300014,26
"2019-06-04",8000012,26
"2019-06-04",1700,23
"2019-06-04",7100036,23
"2019-06-04",7300015,20
"2019-06-04",20002,19
"2019-06-04",2602,19
"2019-06-04",7100021,19
"2019-06-04",7100055,17
"2019-06-04",2100,15
"2019-06-04",8000013,15
"2019-06-04",7100033,14
"2019-06-04",7300024,14
"2019-06-04",8000043,14
"2019-06-04",20000,13
"2019-06-04",2604,13
"2019-06-04",20006,12
"2019-06-04",7700048,12
"2019-06-04",1600,11
"2019-06-04",6522,11
"2019-06-04",7100057,11
"2019-06-04",8000001,11
"2019-06-04",2064,10
"2019-06-04",7100060,10
"2019-06-04",8700017,10
"2019-06-04",7100056,9
"2019-06-04",7700016,9
"2019-06-04",8000045,9
"2019-06-04",7100075,8
"2019-06-04",8000049,8
"2019-06-04",9010,8
"2019-06-04",7100079,7
"2019-06-04",7700019,7
"2019-06-04",7700021,7
"2019-06-04",8000032,7
"2019-06-04",9013,7
"2019-06-04",9105,7
"2019-06-04",30000,6
"2019-06-04",7100074,6
"2019-06-04",7700020,6
"2019-06-04",7900006,6
"2019-06-04",8700020,6
"2019-06-04",2612,5
"2019-06-04",7700017,5
"2019-06-04",8800010,5
"2019-06-04",20008,4
"2019-06-04",2610,4
"2019-06-04",7100061,4
"2019-06-04",9058,4
"2019-06-04",9103,4
"2019-06-04",5000413,3
"2019-06-04",7300025,3
"2019-06-04",7700050,3
"2019-06-04",8700010,3
"2019-06-04",8800002,3
"2019-06-04",9049,3
"2019-06-04",9052,3
"2019-06-04",6018,2
"2019-06-04",6508,2
"2019-06-04",7100058,2
"2019-06-04",7300022,2
"2019-06-04",7700049,2
"2019-06-04",8600010,2
"2019-06-04",9106,2
"2019-06-04",2050,1
"2019-06-04",5000891,1
"2019-06-04",6017,1
"2019-06-04",6019,1
"2019-06-04",6021,1
"2019-06-04",7100076,1
"2019-06-04",7100078,1
"2019-06-04",7300016,1
"2019-06-04",7700065,1
"2019-06-04",8600002,1
"2019-06-04",8700001,1
"2019-06-04",8700007,1
"2019-06-04",8700014,1
"2019-06-04",8700022,1
"2019-06-04",8800001,1
"2019-06-04",9011,1
"2019-06-04",9055,1
"2019-06-04",9059,1
"2019-06-05",9008,438
"2019-06-05",6012,315
"2019-06-05",1050,129
"2019-06-05",2106,73
"2019-06-05",7100023,71
"2019-06-05",1804,61
"2019-06-05",6013,57
"2019-06-05",6011,43
"2019-06-05",8800008,42
"2019-06-05",2700,39
"2019-06-05",6020,36
"2019-06-05",1700,31
"2019-06-05",7300014,29
"2019-06-05",7100022,28
"2019-06-05",7100036,27
"2019-06-05",1052,25
"2019-06-05",7300024,21
"2019-06-05",2604,20
"2019-06-05",8000007,20
"2019-06-05",7300015,18
"2019-06-05",7300001,17
"2019-06-05",7100021,16
"2019-06-05",7100033,15
"2019-06-05",8000045,15
"2019-06-05",1600,14
"2019-06-05",20000,14
"2019-06-05",20002,14
"2019-06-05",2100,14
"2019-06-05",20006,12
"2019-06-05",7100057,12
"2019-06-05",8000012,12
"2019-06-05",8000013,12
"2019-06-05",8000043,12
"2019-06-05",7100055,11
"2019-06-05",6522,10
"2019-06-05",7100060,10
"2019-06-05",7100079,10
"2019-06-05",7700017,10
"2019-06-05",8800010,10
"2019-06-05",9010,10
"2019-06-05",7100075,9
"2019-06-05",7100056,8
"2019-06-05",8000001,8
"2019-06-05",8000032,8
"2019-06-05",8000049,8
"2019-06-05",8700017,8
"2019-06-05",8700020,8
"2019-06-05",2064,7
"2019-06-05",5000074,7
"2019-06-05",6508,7
"2019-06-05",7100061,7
"2019-06-05",30000,6
"2019-06-05",7700020,6
"2019-06-05",7900006,6
"2019-06-05",9049,6
